+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                          ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                      ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; deflect_controller_2|counter_reload                                                                                                                                                            ; 3     ; 1              ; 0            ; 1              ; 10     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_29|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_29                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_28|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_28                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_27|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_27                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_26|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_26                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_25|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_25                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_24|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_24                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_23|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_23                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_22|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_22                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_21|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_21                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_20|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_20                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_19|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_19                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_18|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_18                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_17|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_17                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_16|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_16                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_15|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_15                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_14|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_14                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_13|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_13                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_12|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_12                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_11|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_11                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_10|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_10                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_9|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_9                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_8|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_8                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_7|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_7                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_6|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_6                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_5|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_5                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_4|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_4                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_3|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_3                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_2|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_2                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_1|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_1                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_0|is_chara_instance                                                                                                                                                ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2|bullet_0                                                                                                                                                                  ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_2                                                                                                                                                                           ; 91    ; 3              ; 0            ; 3              ; 116    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|counter_genji                                                                                                                                                             ; 3     ; 1              ; 0            ; 1              ; 10     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|counter_reload                                                                                                                                                            ; 3     ; 1              ; 0            ; 1              ; 10     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_29|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_29                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_28|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_28                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_27|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_27                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_26|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_26                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_25|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_25                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_24|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_24                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_23|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_23                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_22|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_22                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_21|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_21                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_20|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_20                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_19|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_19                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_18|is_chara_instance                                                                                                                                               ; 60    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; deflect_controller_1|bullet_18                                                                                                                                                                 ; 87    ; 13             ; 0            ; 13             ; 24     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
